,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
3633,0.844,0.454,1.0,-9.028,1.0,0.259,0.0723,0.787,0.126,0.274,155.029,audio_features,1U3XdjHLA6TgpVEGTikNcp,spotify:track:1U3XdjHLA6TgpVEGTikNcp,https://api.spotify.com/v1/tracks/1U3XdjHLA6TgpVEGTikNcp,https://api.spotify.com/v1/audio-analysis/1U3XdjHLA6TgpVEGTikNcp,431587.0,4.0,
3634,0.466,0.659,2.0,-6.077,1.0,0.115,0.00282,0.0,0.273,0.36,186.169,audio_features,6Pw3Gvw4wNMZfTYZa6IQal,spotify:track:6Pw3Gvw4wNMZfTYZa6IQal,https://api.spotify.com/v1/tracks/6Pw3Gvw4wNMZfTYZa6IQal,https://api.spotify.com/v1/audio-analysis/6Pw3Gvw4wNMZfTYZa6IQal,187787.0,4.0,
3635,0.722,0.728,10.0,-4.458,0.0,0.0601,0.198,0.0,0.482,0.509,123.057,audio_features,2YK01AIIWuywG24gsbuizE,spotify:track:2YK01AIIWuywG24gsbuizE,https://api.spotify.com/v1/tracks/2YK01AIIWuywG24gsbuizE,https://api.spotify.com/v1/audio-analysis/2YK01AIIWuywG24gsbuizE,284133.0,4.0,
3636,0.967,0.646,4.0,-4.818,0.0,0.0593,0.0242,2.31e-06,0.0916,0.2,124.994,audio_features,5hfpu8saHLGedbHRtNCYjm,spotify:track:5hfpu8saHLGedbHRtNCYjm,https://api.spotify.com/v1/tracks/5hfpu8saHLGedbHRtNCYjm,https://api.spotify.com/v1/audio-analysis/5hfpu8saHLGedbHRtNCYjm,203000.0,4.0,
3637,0.891,0.321,1.0,-12.813,1.0,0.426,0.147,1.89e-05,0.117,0.331,136.005,audio_features,7rErmb9ztCh29H8nWmavQz,spotify:track:7rErmb9ztCh29H8nWmavQz,https://api.spotify.com/v1/tracks/7rErmb9ztCh29H8nWmavQz,https://api.spotify.com/v1/audio-analysis/7rErmb9ztCh29H8nWmavQz,217867.0,4.0,
3638,0.763,0.673,4.0,-4.906,1.0,0.201,0.127,4.86e-05,0.0751,0.554,137.937,audio_features,1eVRnmGhDPATPxz6kqWuCP,spotify:track:1eVRnmGhDPATPxz6kqWuCP,https://api.spotify.com/v1/tracks/1eVRnmGhDPATPxz6kqWuCP,https://api.spotify.com/v1/audio-analysis/1eVRnmGhDPATPxz6kqWuCP,177840.0,4.0,
3639,0.72,0.424,2.0,-11.964,1.0,0.387,0.0122,0.0126,0.453,0.228,150.01,audio_features,6dVZCbi9CYtD9LjAHXRjIG,spotify:track:6dVZCbi9CYtD9LjAHXRjIG,https://api.spotify.com/v1/tracks/6dVZCbi9CYtD9LjAHXRjIG,https://api.spotify.com/v1/audio-analysis/6dVZCbi9CYtD9LjAHXRjIG,258427.0,4.0,
3640,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,audio_features,1F2HXIJrE2Xn81OzT2zZvW,spotify:track:1F2HXIJrE2Xn81OzT2zZvW,https://api.spotify.com/v1/tracks/1F2HXIJrE2Xn81OzT2zZvW,https://api.spotify.com/v1/audio-analysis/1F2HXIJrE2Xn81OzT2zZvW,233833.0,4.0,
3641,0.794,0.735,0.0,-4.204,1.0,0.054,0.108,0.00578,0.112,0.223,107.374,audio_features,6Na5uKk5SsqZimk0hAWo8y,spotify:track:6Na5uKk5SsqZimk0hAWo8y,https://api.spotify.com/v1/tracks/6Na5uKk5SsqZimk0hAWo8y,https://api.spotify.com/v1/audio-analysis/6Na5uKk5SsqZimk0hAWo8y,234373.0,4.0,
3642,0.663,0.575,6.0,-4.907,0.0,0.0458,0.1,3.16e-06,0.133,0.458,110.04,audio_features,0Nhu3zSYbEz32IYiobV75e,spotify:track:0Nhu3zSYbEz32IYiobV75e,https://api.spotify.com/v1/tracks/0Nhu3zSYbEz32IYiobV75e,https://api.spotify.com/v1/audio-analysis/0Nhu3zSYbEz32IYiobV75e,214802.0,4.0,
3643,0.741,0.79,11.0,-4.086,0.0,0.0469,0.113,0.0,0.0542,0.528,104.043,audio_features,4xlrALxuaCf9yZBHJeTSG6,spotify:track:4xlrALxuaCf9yZBHJeTSG6,https://api.spotify.com/v1/tracks/4xlrALxuaCf9yZBHJeTSG6,https://api.spotify.com/v1/audio-analysis/4xlrALxuaCf9yZBHJeTSG6,184134.0,4.0,
3644,0.821,0.637,9.0,-4.276,0.0,0.161,0.433,0.0,0.209,0.778,86.01,audio_features,4KaIJ1FWXUoAAnOts1YWjD,spotify:track:4KaIJ1FWXUoAAnOts1YWjD,https://api.spotify.com/v1/tracks/4KaIJ1FWXUoAAnOts1YWjD,https://api.spotify.com/v1/audio-analysis/4KaIJ1FWXUoAAnOts1YWjD,204280.0,4.0,
3645,0.652,0.827,7.0,-3.98,0.0,0.0445,0.015,0.0,0.432,0.659,100.011,audio_features,4vv1KjUzPwrtDbozizSfQc,spotify:track:4vv1KjUzPwrtDbozizSfQc,https://api.spotify.com/v1/tracks/4vv1KjUzPwrtDbozizSfQc,https://api.spotify.com/v1/audio-analysis/4vv1KjUzPwrtDbozizSfQc,229147.0,4.0,
3646,0.776,0.589,9.0,-4.543,0.0,0.115,0.319,0.0,0.0715,0.668,120.034,audio_features,0pJPdSVti6cTM1Q6xYGmcf,spotify:track:0pJPdSVti6cTM1Q6xYGmcf,https://api.spotify.com/v1/tracks/0pJPdSVti6cTM1Q6xYGmcf,https://api.spotify.com/v1/audio-analysis/0pJPdSVti6cTM1Q6xYGmcf,240093.0,4.0,
3647,0.836,0.716,5.0,-5.211,0.0,0.0549,0.0196,1.83e-05,0.101,0.534,119.938,audio_features,2kVHAQKVtczchKctctzbtK,spotify:track:2kVHAQKVtczchKctctzbtK,https://api.spotify.com/v1/tracks/2kVHAQKVtczchKctctzbtK,https://api.spotify.com/v1/audio-analysis/2kVHAQKVtczchKctctzbtK,242510.0,4.0,
3648,0.722,0.79,4.0,-4.867,0.0,0.241,0.152,0.0,0.0349,0.434,94.965,audio_features,0Ws8D3EWUDgY962Xftb0h5,spotify:track:0Ws8D3EWUDgY962Xftb0h5,https://api.spotify.com/v1/tracks/0Ws8D3EWUDgY962Xftb0h5,https://api.spotify.com/v1/audio-analysis/0Ws8D3EWUDgY962Xftb0h5,235973.0,4.0,
3649,0.784,0.728,0.0,-4.549,0.0,0.0539,0.34,0.0,0.222,0.713,110.165,audio_features,60APt5N2NRaKWf5xzJdzyC,spotify:track:60APt5N2NRaKWf5xzJdzyC,https://api.spotify.com/v1/tracks/60APt5N2NRaKWf5xzJdzyC,https://api.spotify.com/v1/audio-analysis/60APt5N2NRaKWf5xzJdzyC,229160.0,4.0,
3650,0.755,0.6,5.0,-6.431,0.0,0.309,0.144,0.0,0.117,0.652,155.982,audio_features,0NZUqq4iLQddokgtiC44Kb,spotify:track:0NZUqq4iLQddokgtiC44Kb,https://api.spotify.com/v1/tracks/0NZUqq4iLQddokgtiC44Kb,https://api.spotify.com/v1/audio-analysis/0NZUqq4iLQddokgtiC44Kb,211240.0,4.0,
